service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0,1,1,1,1,1,1,1,20251214,20261212
1,1,1,1,1,1,1,0,20251215,20261212
2,1,1,1,1,1,1,1,20251214,20261212
3,1,1,1,1,1,1,1,20251214,20261212
4,1,1,1,1,0,1,1,20251214,20261212
5,1,1,1,1,0,1,0,20251215,20261212
6,1,1,1,1,0,1,0,20251215,20261212
7,0,0,0,0,1,0,0,20251219,20261211
8,0,0,0,0,0,0,1,20251214,20261206
9,1,1,1,1,0,1,0,20251215,20261212
10,1,1,1,1,1,0,0,20251215,20261211
11,0,0,1,0,0,0,0,20251231,20251231
12,1,1,1,1,1,1,0,20251215,20261212
13,1,1,1,1,1,0,0,20251215,20261211
14,0,0,0,0,0,1,1,20251214,20261212
15,1,1,1,1,1,0,0,20251215,20261211
16,0,0,0,0,0,0,0,20251223,20260831
17,0,0,0,0,0,1,0,20251220,20261212
18,0,0,0,0,0,0,0,20260106,20260915
19,1,1,1,1,1,0,0,20251215,20261211
20,0,0,0,0,0,1,1,20251214,20261212
21,0,0,0,0,0,1,1,20251214,20261212
22,0,0,0,0,1,0,0,20251219,20261211
23,1,1,1,1,0,0,0,20251215,20261210
24,0,0,0,1,0,0,0,20251225,20251225
25,0,0,0,0,0,1,0,20251220,20261212
26,0,0,0,0,0,1,0,20251220,20261212
27,0,0,0,0,0,0,0,20251231,20261028
28,0,0,0,0,0,1,0,20251220,20261212
29,0,0,0,0,1,0,0,20251219,20261211
30,0,0,0,0,0,1,1,20251214,20261212
31,0,0,0,0,0,1,0,20251220,20261212
32,0,0,0,0,0,1,1,20260718,20260719
33,0,0,0,1,0,0,0,20260101,20260101
34,0,0,0,0,0,1,1,20260328,20261101
35,0,0,0,0,0,1,1,20251220,20261101
36,0,0,0,0,0,1,1,20260403,20261028
37,0,0,0,0,0,1,1,20251214,20261212
38,1,1,1,1,1,1,1,20251214,20261212
39,0,0,0,1,0,0,0,20251225,20260101
40,0,0,0,0,0,1,0,20251220,20261212
41,0,0,0,0,0,0,1,20251214,20261206
42,0,0,0,0,0,0,1,20251214,20261206
43,0,0,0,0,0,1,0,20251220,20261212
44,1,1,1,1,1,0,0,20251215,20261211
45,0,0,0,0,0,1,0,20251220,20261212
46,0,0,0,0,0,0,1,20251214,20261206
47,1,1,1,1,1,0,1,20251214,20261211
48,0,0,0,0,0,0,1,20251214,20261206
49,1,1,1,1,1,0,1,20251214,20261211
50,0,0,0,0,0,1,0,20251220,20261212
51,1,1,1,1,1,0,1,20251214,20261211
52,1,1,1,1,1,1,0,20251215,20261212
53,0,0,0,0,0,0,1,20251214,20261206
54,0,0,0,0,0,1,0,20251220,20261212
55,0,0,0,0,0,0,1,20251214,20261206
56,1,1,1,1,1,0,0,20251215,20261211
57,1,1,1,1,1,1,0,20251215,20261212
58,1,1,1,1,1,1,1,20251214,20261212
59,0,0,0,0,0,1,1,20251214,20261212
60,1,1,1,1,1,1,1,20251214,20260311
61,0,0,0,0,0,0,0,20251214,20261212
62,0,0,0,0,0,0,0,20251214,20261212
63,0,0,0,0,0,0,0,20251214,20261212
64,0,0,1,0,0,0,0,20251224,20251224
65,1,1,1,1,1,1,1,20251214,20261212
66,0,0,0,0,0,0,0,20251214,20261212
67,0,0,1,0,0,0,0,20251224,20251231
68,0,0,0,0,0,1,0,20251220,20261212
69,1,1,1,1,1,0,0,20251215,20261211
70,0,0,0,0,0,1,1,20251214,20261212
71,0,0,0,0,0,1,0,20251220,20261212
72,0,0,0,0,0,1,0,20251220,20261212
73,1,1,1,1,1,1,0,20251215,20261212
74,0,0,0,0,1,0,0,20251219,20261211
75,0,0,0,0,0,1,1,20251214,20261212
76,0,0,0,0,1,1,0,20251219,20261212
77,1,1,1,1,1,0,0,20251215,20261211
78,1,1,1,1,1,0,0,20251215,20261211
79,0,0,1,1,0,0,0,20251224,20251231
80,0,0,0,0,0,0,1,20251214,20261206
81,1,1,1,1,1,1,0,20251215,20261212
82,0,0,1,1,0,0,0,20251225,20251231
83,1,1,1,1,1,0,0,20251215,20261211
84,0,0,0,0,0,0,0,20251229,20260831
85,0,0,0,0,0,1,1,20251214,20261212
86,1,1,1,1,0,0,0,20251215,20261211
87,0,0,0,0,0,1,1,20251214,20261212
88,1,1,1,1,0,0,0,20251215,20261211
89,0,0,0,0,0,1,1,20260321,20261101
90,1,1,1,1,1,0,0,20251214,20261212
91,0,0,0,0,0,0,0,20251222,20260831
92,1,1,1,1,1,1,0,20251215,20261212
93,0,0,0,0,1,1,0,20251219,20261212
94,0,0,0,0,0,0,1,20251214,20261206
95,0,0,0,0,0,1,0,20251220,20261212
96,0,0,0,0,0,1,1,20251214,20261212
97,0,0,0,0,0,1,1,20251214,20261212
98,1,1,1,1,1,1,1,20260501,20261011
99,1,1,1,1,1,1,1,20251214,20261212
100,1,1,0,1,0,0,0,20251215,20261211
101,0,0,0,0,1,0,0,20251219,20261211
102,0,0,0,0,0,1,0,20251220,20261212
103,0,0,0,0,0,0,1,20251214,20261206
104,1,1,1,1,0,0,1,20251214,20261210
105,1,1,1,1,1,0,0,20260701,20260831
106,0,0,0,0,0,0,1,20251214,20261206
107,0,0,0,0,0,1,0,20261010,20261010
108,0,0,0,0,0,0,1,20251214,20261206
109,1,1,1,1,1,1,0,20251215,20261212
110,0,0,0,0,0,1,0,20260328,20261024
111,1,1,1,1,1,0,1,20251214,20261212
112,1,1,1,1,1,1,1,20251214,20261212
113,0,0,0,0,0,0,1,20251214,20261206
114,0,0,0,0,1,0,0,20251219,20261211
115,0,0,0,0,0,0,1,20251214,20261206
116,1,1,1,1,1,1,0,20251215,20261212
117,0,0,0,0,0,1,1,20260328,20261025
118,1,1,1,1,0,1,1,20251214,20261212
119,0,0,0,0,1,0,0,20251219,20261211
120,0,0,0,0,0,1,1,20260627,20260628
121,1,1,1,1,1,0,0,20251215,20261211
122,1,1,1,1,1,1,0,20251215,20261212
123,0,0,0,0,0,1,0,20260912,20260912
124,0,0,0,0,1,0,0,20260911,20260911
125,1,1,1,1,1,1,1,20251214,20260906
126,1,1,1,1,1,0,0,20251215,20260904
127,0,0,0,0,0,1,1,20251214,20260906
128,0,0,0,0,0,0,0,20251214,20261212
129,1,1,1,1,1,1,1,20251214,20261212
130,0,0,0,0,1,0,0,20251219,20261211
131,1,1,1,1,0,0,0,20251215,20261210
132,0,0,0,0,0,1,1,20251214,20261212
133,1,1,1,1,1,0,0,20251215,20261211
134,0,0,0,0,0,0,0,20251224,20261129
135,0,0,0,0,0,1,0,20251220,20261212
136,1,1,1,1,1,1,0,20251215,20261212
137,1,1,1,1,1,0,1,20251214,20261211
138,0,0,0,0,0,0,1,20251214,20261206
139,0,0,0,0,1,0,1,20251214,20261211
140,1,1,1,1,1,1,0,20251215,20261212
141,1,1,1,1,0,1,1,20251214,20261212
142,0,0,0,0,0,0,1,20251214,20261206
143,0,0,0,0,0,1,1,20260606,20260919
144,0,0,0,0,0,1,1,20260425,20260928
145,1,1,1,1,1,0,0,20251215,20261211
146,1,1,1,1,1,0,0,20260605,20260831
147,0,0,0,0,1,1,0,20251219,20261212
148,0,0,0,0,0,1,0,20251220,20261212
149,1,0,0,0,0,0,0,20251215,20261207
150,0,1,1,1,1,1,1,20251214,20261212
151,1,1,1,1,1,0,0,20251214,20261212
152,0,0,0,0,0,1,0,20260321,20261031
153,0,0,0,0,0,1,1,20251214,20261212
154,0,0,0,0,0,0,0,20251214,20261212
155,0,0,0,0,0,1,0,20260124,20260124
156,0,0,0,0,0,1,0,20260321,20261031
157,0,0,0,0,0,0,0,20251214,20261206
158,0,0,0,0,0,1,0,20260516,20260516
159,1,1,1,1,1,0,1,20251214,20261212
160,0,0,0,0,1,1,1,20251214,20261212
161,0,0,0,0,0,0,1,20260322,20261025
162,0,0,0,0,0,0,1,20251214,20261212
163,0,0,0,0,0,1,1,20251220,20261212
164,0,0,0,0,0,0,0,20251219,20261211
165,0,0,0,0,0,1,1,20260523,20260830
166,0,0,0,0,0,1,1,20251214,20261212
167,0,0,1,0,0,1,0,20261028,20261031
168,0,0,0,0,0,0,1,20260322,20261101
169,1,1,1,1,1,1,1,20251214,20261212
170,1,1,1,1,1,0,0,20251215,20261210
171,0,0,0,0,0,1,0,20260321,20261024
172,1,1,1,1,1,1,1,20251214,20261211
173,0,0,0,0,0,1,0,20261212,20261212
174,0,0,0,0,0,1,1,20251214,20261212
175,1,1,1,1,1,0,0,20251215,20260630
176,0,0,0,0,0,1,1,20251214,20260628
177,0,0,0,0,0,1,1,20251214,20260628
178,0,0,0,0,0,0,1,20251220,20261212
179,0,0,0,0,0,1,0,20251214,20261212
180,1,1,1,1,0,0,1,20251214,20261210
181,0,0,0,0,0,0,1,20260322,20261101
182,0,0,0,0,1,1,0,20251219,20261212
183,1,1,1,1,0,1,0,20251215,20261212
184,1,1,1,1,1,1,1,20260328,20261101
185,1,0,0,0,0,0,0,20251215,20261207
186,1,1,1,1,1,0,0,20251215,20261211
187,0,1,1,1,1,1,1,20251214,20261212
188,0,0,0,0,0,1,1,20260501,20261011
189,1,1,1,1,1,1,1,20251214,20261212
190,1,1,1,1,1,0,0,20260504,20261009
191,0,0,0,0,0,1,1,20251214,20261212
192,0,0,0,0,1,0,0,20260501,20260501
193,0,0,0,0,0,1,1,20260502,20261011
194,0,0,0,0,0,1,1,20251214,20261212
195,1,1,1,1,1,0,0,20251215,20261211
196,0,0,0,0,0,1,1,20251214,20261212
197,0,0,0,0,0,1,1,20260501,20260928
198,0,0,0,0,0,1,1,20251214,20261212
199,1,1,1,1,1,1,1,20251214,20261212
200,0,0,0,0,0,0,1,20260322,20261101
201,0,0,0,0,0,0,0,20260404,20260927
202,1,1,1,1,1,0,0,20251215,20261211
203,0,0,0,0,0,1,0,20260321,20261031
204,0,0,0,0,0,1,1,20251214,20261206
205,0,0,0,0,0,1,1,20251214,20261212
206,0,0,0,0,0,0,0,20251220,20261212
207,1,1,1,1,1,1,1,20251214,20261212
208,1,1,1,1,1,0,0,20251215,20261211
209,0,0,0,0,0,0,1,20251214,20261206
210,0,0,0,0,0,1,0,20260501,20261010
211,0,0,0,0,0,0,1,20260502,20261011
212,1,1,1,1,1,0,0,20251215,20261212
213,1,1,1,1,1,1,1,20251214,20261212
214,1,1,1,1,1,1,1,20251214,20261212
215,0,0,0,0,0,0,0,20251220,20261212
216,1,1,1,1,1,1,0,20260501,20261010
217,1,1,1,1,0,0,1,20260503,20261011
218,0,0,0,0,1,0,0,20260507,20261011
219,0,0,0,0,0,1,0,20251220,20261212
220,0,0,0,0,0,1,0,20260501,20261010
221,0,0,0,0,1,1,0,20260501,20261010
222,0,0,0,0,0,1,0,20260502,20261010
223,0,0,0,0,0,1,1,20251214,20261212
224,1,1,1,1,0,0,1,20251214,20261210
225,1,1,1,1,1,1,1,20260328,20261025
226,0,0,0,0,0,1,1,20251214,20261206
227,1,1,1,1,1,1,1,20251214,20261212
228,0,0,0,0,0,0,0,20251214,20261206
229,0,0,0,0,0,0,1,20251214,20261206
230,0,0,0,0,0,1,0,20260328,20261024
231,0,0,0,0,1,1,0,20251219,20261212
232,0,0,0,0,0,0,1,20260329,20261025
233,1,1,1,1,1,0,0,20251215,20260306
234,1,1,1,1,1,0,0,20260309,20261211
235,0,0,0,0,0,1,0,20251220,20261212
236,0,0,0,0,0,0,1,20251214,20261206
237,1,1,1,1,1,1,0,20251215,20261212
238,0,0,0,0,0,1,1,20251214,20261212
239,1,1,1,1,1,1,1,20251214,20261212
240,0,0,0,0,0,0,1,20251214,20261206
241,1,1,1,1,1,1,0,20251215,20261212
242,0,0,0,0,0,1,1,20251214,20261212
243,0,0,0,0,0,0,0,20260321,20261101
244,0,0,0,0,1,0,0,20260703,20260828
245,0,0,0,0,1,0,0,20260320,20261030
246,0,0,0,1,1,0,0,20251225,20260101
247,0,0,0,0,0,0,0,20251222,20260831
248,1,1,1,1,0,0,0,20251215,20261211
249,1,1,1,1,0,0,0,20251215,20261210
250,0,0,0,0,0,1,1,20251214,20261212
251,1,1,1,1,1,0,0,20251215,20261211
252,0,0,0,0,0,0,0,20251231,20260831
253,0,0,0,0,1,0,0,20260320,20261030
254,0,0,0,0,1,1,0,20260320,20261031
255,0,0,0,0,0,0,0,20251214,20261212
256,0,0,0,0,0,1,1,20251214,20261212
257,0,0,0,0,0,0,0,20251220,20261212
258,1,1,1,1,1,1,1,20251215,20261211
259,1,1,1,1,1,1,0,20251215,20261211
260,1,1,1,1,1,1,0,20251215,20261212
261,0,0,0,0,0,1,0,20260321,20261031
262,1,1,1,1,1,0,1,20251214,20261212
263,0,0,0,0,0,0,0,20261028,20261117
264,0,0,0,0,0,1,1,20251214,20261212
265,1,1,1,1,1,0,1,20251214,20261211
266,0,0,0,0,0,0,1,20251214,20261206
267,1,1,1,1,1,0,0,20260302,20261211
268,0,0,0,0,0,0,1,20260125,20261206
269,1,1,1,1,0,1,1,20251214,20261212
270,1,1,1,1,1,1,0,20251214,20261212
271,1,1,1,1,1,0,1,20251214,20261211
272,0,0,0,0,0,0,1,20251214,20261206
273,0,0,0,0,1,0,0,20251219,20261211
274,1,1,1,1,1,1,0,20251215,20261212
275,1,1,1,1,1,0,0,20251215,20261211
276,0,0,0,0,0,0,0,20251229,20261208
277,1,1,1,1,1,0,0,20251215,20261211
278,0,0,0,0,0,1,0,20260501,20261010
279,0,0,0,0,0,1,1,20251214,20261212
280,0,0,0,0,0,0,0,20260103,20261117
281,0,0,0,0,0,0,1,20251214,20261206
282,1,1,1,1,1,0,1,20251214,20261211
283,0,0,0,0,0,1,1,20251214,20261212
284,1,1,1,1,1,1,0,20251215,20261212
285,1,1,1,1,1,0,0,20260216,20261211
286,1,1,1,1,1,1,1,20251214,20260215
287,1,1,1,1,1,1,1,20260216,20261212
288,1,1,1,1,1,0,0,20251215,20260213
289,1,1,1,1,1,0,0,20260216,20261211
290,1,1,1,1,1,1,1,20251214,20260215
291,0,0,0,0,0,1,1,20251214,20260215
292,1,1,1,1,1,1,1,20251214,20261212
293,1,1,1,1,1,1,1,20251214,20260215
294,1,1,1,1,1,0,0,20260601,20260831
295,1,1,1,1,1,0,0,20251215,20261211
296,0,0,1,1,0,0,0,20251224,20251225
297,0,1,1,1,1,0,0,20251216,20261211
298,1,1,1,1,1,0,1,20251214,20261211
299,0,0,0,0,1,1,1,20251214,20261212
300,0,0,0,0,0,1,1,20251214,20260215
301,0,0,0,0,0,1,0,20251220,20261212
302,1,1,1,1,1,0,0,20251215,20261211
303,0,0,0,0,0,0,1,20251214,20261206
304,0,0,0,0,0,1,0,20251220,20251220
305,0,0,0,0,0,0,0,20251214,20261212
