route_id,service_id,trip_id
KASO---13301,0,KASO---13301
KASO-----201,375,KASO-----201
KASO-----202,358,KASO-----202
KASO--996001,0,KASO--996001
KASO-----401,0,KASO-----401
KASO---12901,0,KASO---12901
KASO-----601,376,KASO-----601
KASO-3304401,951,KASO-3304401
KASO--998201,0,KASO--998201
KASO-----901,0,KASO-----901
KASO----1001,0,KASO----1001
KASO----1301,0,KASO----1301
KASO----1401,0,KASO----1401
KASO----1701,0,KASO----1701
KASO----1801,0,KASO----1801
KASO----2101,0,KASO----2101
KASO----2201,0,KASO----2201
KASO----2301,0,KASO----2301
KASO----2401,0,KASO----2401
KASO----2501,0,KASO----2501
KASO----2601,0,KASO----2601
KASO----2701,0,KASO----2701
KASO----2801,0,KASO----2801
KASO----2901,0,KASO----2901
KASO----3001,0,KASO----3001
KASO----3101,0,KASO----3101
KASO----3201,0,KASO----3201
KASO----3301,0,KASO----3301
KASO----3401,287,KASO----3401
KASO----3402,290,KASO----3402
KASO----3501,0,KASO----3501
KASO----3601,0,KASO----3601
KASO----3701,0,KASO----3701
KASO----3801,0,KASO----3801
KASO----3901,290,KASO----3901
KASO-3212401,287,KASO-3212401
KASO----4001,290,KASO----4001
KASO-3211501,287,KASO-3211501
KASO----4101,0,KASO----4101
KASO----4201,0,KASO----4201
KASO----4301,0,KASO----4301
KASO----4401,0,KASO----4401
KASO--988801,0,KASO--988801
KASO--989501,381,KASO--989501
KASO--989502,385,KASO--989502
KASO-2832701,883,KASO-2832701
KASO----4502,377,KASO----4502
KASO----4501,384,KASO----4501
KASO-2833001,883,KASO-2833001
KASO---13601,380,KASO---13601
KASO---13602,385,KASO---13602
KASO-2833301,814,KASO-2833301
KASO-3213801,897,KASO-3213801
KASO----4702,378,KASO----4702
KASO----4701,384,KASO----4701
KASO-2833601,814,KASO-2833601
KASO----4801,379,KASO----4801
KASO----4802,385,KASO----4802
KASO-2833901,814,KASO-2833901
KASO---13502,378,KASO---13502
KASO---13501,384,KASO---13501
KASO-2832401,814,KASO-2832401
KASO----5201,378,KASO----5201
KASO----5202,384,KASO----5202
KASO-2834301,814,KASO-2834301
KASO----5102,378,KASO----5102
KASO----5101,384,KASO----5101
KASO-2834501,814,KASO-2834501
KASO--989901,383,KASO--989901
KASO--989902,386,KASO--989902
KASO----1101,0,KASO----1101
KASO----1201,0,KASO----1201
KASO-1005001,0,KASO-1005001
KASO-1005301,0,KASO-1005301
KASO----1501,0,KASO----1501
KASO----1601,0,KASO----1601
KASO----5901,0,KASO----5901
KASO----6001,0,KASO----6001
KASO----6102,287,KASO----6102
KASO----6101,290,KASO----6101
KASO----6201,0,KASO----6201
KASO----6401,2,KASO----6401
KASO----6501,60,KASO----6501
KASO-3290101,816,KASO-3290101
KASO----6601,0,KASO----6601
KASO-----501,0,KASO-----501
KASO-----801,0,KASO-----801
KASO--999001,0,KASO--999001
KASO---13001,0,KASO---13001
KASO-----102,389,KASO-----102
KASO---13201,0,KASO---13201
KASO--999202,390,KASO--999202
KASO--999201,389,KASO--999201
KASO---13401,0,KASO---13401
KASO----6901,0,KASO----6901
KASO----7001,0,KASO----7001
KASO----7101,0,KASO----7101
KASO----7301,0,KASO----7301
KASO----7501,0,KASO----7501
KASO----7601,0,KASO----7601
KASO----7701,0,KASO----7701
KASO----7901,0,KASO----7901
KASO----8101,0,KASO----8101
KASO----8201,0,KASO----8201
KASO----8301,0,KASO----8301
KASO----8401,0,KASO----8401
KASO----8501,0,KASO----8501
KASO----8601,0,KASO----8601
KASO----8701,0,KASO----8701
KASO----8801,0,KASO----8801
KASO-1128601,392,KASO-1128601
KASO--990901,53,KASO--990901
KASO----9101,223,KASO----9101
KASO----9301,223,KASO----9301
KASO----9401,0,KASO----9401
KASO----9501,121,KASO----9501
KASO---10301,0,KASO---10301
KASO---10101,0,KASO---10101
KASO----9901,0,KASO----9901
KASO----9701,0,KASO----9701
KASO---10401,0,KASO---10401
KASO---10501,0,KASO---10501
KASO---10601,0,KASO---10601
KASO---10701,0,KASO---10701
KASO---10801,0,KASO---10801
