route_id,route_short_name,route_long_name,route_type
KASO---13301,rj 50,Vindobona (Břeclav - Brno hlavní nádraží),2
KASO-----201,rj 51,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO-----202,rj 51,Vindobona (Brno hlavní nádraží - Břeclav),2
KASO--996001,rj 52,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO-----401,rj 53,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO---12901,rj 54,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO-----601,rj 55,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO-3304401,rj 55,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO--998201,rj 56,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO-----901,EC 100,Moravia (Břeclav - Bohumín),2
KASO----1001,EC 101,Moravia (Bohumín - Břeclav),2
KASO----1301,EC 102,Polonia (Břeclav - Bohumín),2
KASO----1401,EC 103,Polonia (Bohumín - Břeclav),2
KASO----1701,EC 106,Sobieski (Břeclav - Bohumín),2
KASO----1801,EC 107,Sobieski (Bohumín - Břeclav),2
KASO----2101,EC 112,Silesia (Bohumín - Praha hlavní nádraží),2
KASO----2201,EC 113,Silesia (Praha hlavní nádraží - Bohumín),2
KASO----2301,EC 114,Cracovia (Bohumín - Praha hlavní nádraží),2
KASO----2401,EC 115,Cracovia (Praha hlavní nádraží - Bohumín),2
KASO----2501,EC 116,Silesia (Bohumín - Praha hlavní nádraží),2
KASO----2601,EC 117,Silesia (Praha hlavní nádraží - Bohumín),2
KASO----2701,EC 120,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----2801,EC 121,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----2901,EC 122,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----3001,EC 123,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----3101,EC 124,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----3201,EC 125,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----3301,EC 126,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----3401,EC 127,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----3402,EC 127,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----3501,EC 128,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----3601,EC 129,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----3701,EC 130,Báthory (Břeclav - Bohumín),2
KASO----3801,EC 131,Báthory (Bohumín - Břeclav),2
KASO----3901,EC 140,Ostravan (Návsí (Nawsie) - Praha hlavní nádraží),2
KASO-3212401,EC 140,Ostravan (Návsí (Nawsie) - Praha hlavní nádraží),2
KASO----4001,EC 141,Ostravan (Praha hlavní nádraží - Návsí (Nawsie)),2
KASO-3211501,EC 141,Ostravan (Praha hlavní nádraží - Návsí (Nawsie)),2
KASO----4101,EC 142,Ostravan (Návsí (Nawsie) - Praha hlavní nádraží),2
KASO----4201,EC 143,Ostravan (Praha hlavní nádraží - Návsí (Nawsie)),2
KASO----4301,EC 144,Ostravan (Návsí (Nawsie) - Praha hlavní nádraží),2
KASO----4401,EC 145,Ostravan (Praha hlavní nádraží - Návsí (Nawsie)),2
KASO--988801,rj 170,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO--989501,rj 171,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO--989502,rj 171,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO-2832701,rj 171,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO----4502,rj 172,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO----4501,rj 172,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO-2833001,rj 172,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO---13601,rj 173,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO---13602,rj 173,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO-2833301,rj 173,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO-3213801,rj 173,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO----4702,rj 174,Hungaria (Břeclav - Děčín hlavní nádraží),2
KASO----4701,rj 174,Hungaria (Břeclav - Děčín hlavní nádraží),2
KASO-2833601,rj 174,Hungaria (Břeclav - Děčín hlavní nádraží),2
KASO----4801,rj 175,Hungaria (Děčín hlavní nádraží - Břeclav),2
KASO----4802,rj 175,Hungaria (Děčín hlavní nádraží - Břeclav),2
KASO-2833901,rj 175,Hungaria (Děčín hlavní nádraží - Břeclav),2
KASO---13502,rj 176,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO---13501,rj 176,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO-2832401,rj 176,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO----5201,rj 177,Berliner (Děčín hlavní nádraží - Břeclav),2
KASO----5202,rj 177,Berliner (Děčín hlavní nádraží - Břeclav),2
KASO-2834301,rj 177,Berliner (Děčín hlavní nádraží - Břeclav),2
KASO----5102,rj 178,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO----5101,rj 178,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO-2834501,rj 178,Berliner (Praha hlavní nádraží - Děčín hlavní nádraží),2
KASO--989901,rj 179,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO--989902,rj 179,Berliner (Děčín hlavní nádraží - Praha hlavní nádraží),2
KASO----1101,EC 202,Danubius (Břeclav - Bohumín),2
KASO----1201,EC 203,Danubius (Bohumín - Břeclav),2
KASO-1005001,EC 204,Prater (Břeclav - Bohumín),2
KASO-1005301,EC 205,Prater (Bohumín - Břeclav),2
KASO----1501,EC 206,Porta Moravica (Břeclav - Bohumín),2
KASO----1601,EC 207,Porta Moravica (Bohumín - Břeclav),2
KASO----5901,EC 220,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----6001,EC 221,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----6102,EC 222,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----6101,EC 222,Valašský expres (Horní Lideč - Praha hlavní nádraží),2
KASO----6201,EC 223,Valašský expres (Praha hlavní nádraží - Horní Lideč),2
KASO----6401,SC 241,Pendolino Košičan (Praha hlavní nádraží - Ostrava hlavní nádraží),2
KASO----6501,rj 250,Vindobona (Břeclav - Děčín hlavní nádraží),2
KASO-3290101,rj 250,Vindobona (Břeclav - Děčín hlavní nádraží),2
KASO----6601,rj 251,Vindobona (Děčín hlavní nádraží - Břeclav),2
KASO-----501,rj 252,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO-----801,rj 253,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO--999001,rj 254,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO---13001,rj 255,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO-----102,rj 256,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO---13201,rj 257,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO--999202,rj 258,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO--999201,rj 258,Vindobona (Břeclav - Praha hlavní nádraží),2
KASO---13401,rj 259,Vindobona (Praha hlavní nádraží - Břeclav),2
KASO----6901,EC 260,Baltic express (Praha hlavní nádraží - Lichkov),2
KASO----7001,EC 261,Baltic express (Lichkov - Praha hlavní nádraží),2
KASO----7101,EC 262,Baltic express (Praha hlavní nádraží - Lichkov),2
KASO----7301,EC 264,Baltic express (Praha hlavní nádraží - Lichkov),2
KASO----7501,rj 270,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----7601,rj 271,Metropolitan (Brno hlavní nádraží - Břeclav),2
KASO----7701,rj 272,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----7901,rj 274,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----8101,rj 276,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----8201,rj 277,Metropolitan (Praha hlavní nádraží - Břeclav),2
KASO----8301,EC 278,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----8401,EC 279,Metropolitan (Praha hlavní nádraží - Břeclav),2
KASO----8501,EC 280,Metropolitan (Břeclav - Praha hlavní nádraží),2
KASO----8601,EC 281,Metropolitan (Praha hlavní nádraží - Břeclav),2
KASO----8701,EC 282,Metropolitan Slovenská strela (Břeclav - Praha hlavní nádraží),2
KASO----8801,EC 283,Metropolitan Slovenská strela (Praha hlavní nádraží - Břeclav),2
KASO-1128601,EC 298,Břeclav - Praha hlavní nádraží,2
KASO--990901,EC 299,Praha hlavní nádraží - Břeclav,2
KASO----9101,R 320,Silva Nortica (České Velenice - Praha hlavní nádraží),2
KASO----9301,R 322,Silva Nortica (České Velenice - Praha hlavní nádraží),2
KASO----9401,R 323,Silva Nortica (Praha hlavní nádraží - České Velenice),2
KASO----9501,R 324,Silva Nortica (České Velenice - Praha hlavní nádraží),2
KASO---10301,EC 330,Jižní expres (Rybník - Praha hlavní nádraží),2
KASO---10101,EC 332,Jižní expres (Rybník - Praha hlavní nádraží),2
KASO----9901,EC 334,Jižní expres (Rybník - Praha hlavní nádraží),2
KASO----9701,EC 336,Jižní expres (Rybník - Praha hlavní nádraží),2
KASO---10401,EC 337,Jižní expres (Praha hlavní nádraží - Rybník),2
KASO---10501,R 340,Kysučan (Návsí (Nawsie) - Ostrava-Svinov),2
KASO---10601,R 341,Kysučan (Ostrava-Svinov - Návsí (Nawsie)),2
KASO---10701,R 342,Kysučan (Návsí (Nawsie) - Ostrava-Svinov),2
KASO---10801,R 343,Kysučan (Ostrava-Svinov - Návsí (Nawsie)),2
